"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
age,socio_demographics,,text,"What was your age at enrolment?",,,integer,18,,,,,,,,,
gender,socio_demographics,,radio,"Are you:","0, Male | 1, Female | 2, Other",,,,,,,,,,,,
marital_status,socio_demographics,,radio,"Are you:","0,Single|1,Cohabiting with your partner|2,Married and living with your husband/wife|3,Married and separated from your husband/wife|4,Divorced|5,Widowed",,,,,,,,,,,,
living_together,socio_demographics,,radio,"Are you living with someone in the household as a couple?","0,No|1,Yes",,,,,,,,,,,,
children,socio_demographics,,radio,"Do you have children?","0,No|1,Yes",,,,,,,,,,,,
no_of_children,socio_demographics,,text,"How many children do you have?",,,integer,,,,"[children]=""1""",,,,,,
children_live_with_you,socio_demographics,,text,"How many children still live with you?",,,integer,,,,"[children]=""1""",,,,,,
youngest_child_age,socio_demographics,,text,"How old is your youngest child?",,,number,0,100,,"[children] = ""1""",,,,,,
ethnicity_1,socio_demographics,"Choose one option that best describes your ethnic group or background.",radio,"What is your ethnic group or background?","0, English/Welsh/Scottish/Northern Irish/British | 1, Irish | 2, Gypsy or Irish Traveller | 3, Any other White background | 4, White and Black Caribbean | 5, White and Black African | 6, White and Asian | 7, Any other Mixed/Multiple ethnic background | 8, Indian | 9, Pakistani | 10, Bangladeshi | 11, Chinese | 12, Any other Asian background | 13, African | 14, Caribbean | 15, Any other Black/African/Caribbean background | 16, Arab | 17, Any other ethnic groups",,,,,,,,,,,,
white_other,socio_demographics,,text,"Describe which other white background",,,,,,,"[ethnicity_1]=""3""",,,,,,
mixed_other,socio_demographics,,text,"Describe which other mixed/multiple ethnic background",,,,,,,"[ethnicity_1]=""7""",,,,,,
asian_other,socio_demographics,,text,"Describe which other Asian background",,,,,,,"[ethnicity_1]=""12"" ",,,,,,
black_other,socio_demographics,,text,"Describe which other Black/African/Caribbean background",,,,,,,"[ethnicity_1]=""15""",,,,,,
ethnic_other,socio_demographics,,text,"Describe which other ethnic background",,,,,,,"[ethnicity_1]=""17"" ",,,,,,
country,socio_demographics,Country,text,"What country were you born in?",,,,,,,,,,,,,
eduction_finish_age,socio_demographics,Education,text,"How old were you when you finished your continuous full-time education or college?",,,integer,,,,,,,,,,
drop_school_1,socio_demographics,,radio,"Did you drop out of school before the age of 15 before you received your qualification?","0,No|1,Yes",,,,,,,,,,,,
qualifications,socio_demographics,,radio,"Have you got any qualifications of any sort?","0,No|1,Yes",,,,,,,,,,,,
degree_1,socio_demographics,,radio,"Which if the following qualifications do you have?","0,Degree level qualification or above|1,A-Level or equivalent (HNDs, NVQ level 3, Highers)|2,GCSE level or equivalent (O-level, NVQ level 1-2)|3,Below GCSE level|4,Other qualifications|5,No qualifications",,,,,,,,,,,,
benefits_type,socio_demographics,Benefits/Income,radio,"Are you currently receiving any of the following benefits in your own right, that is, where you are the named recipient?","0,Jobseekers allowance|1,Employment support allowance|2,Income support|3,Family credit/working families tax credit|4,State pension|5,State pension credit|6,Incapacity benefit|7,Statutory sick pay|8,Disability living allowance/working allowance|9,Other|10,No benefits",,,,,,,,,,,,
benefits,socio_demographics,,radio,"Do you or anyone else in your household receive Housing Benefit, either directly, or by having it paid to you or on your behalf?","0,No|1,Yes",,,,,,,,,,,,
income_gbp,socio_demographics,,radio,"Which of the following represents your household's annual gross income (income from all sources before deductions for income tax and national insurance","0, Less than £15,000|1,£15,000-£24,000|2,£24,000-£40,000|3,£40,000-£55,000|4,More than £55,000",,,,,,,,,,,,
income_contribution,socio_demographics,,text,"How many people contribute to the household income?",,,integer,,,,,,,,,,
accommodation,socio_demographics,Accommodation,radio,"In which of these ways do you occupy your accommodation?","0, Own outright | 1, Buying it with the help of a mortgage or loan | 2, Share Pay part rent and part mortgage (shared ownership) | 3, Rent it from Local Authority | 4, Rent it from Voluntary sector | 5, Rent it from Private landlord | 6, Live here rent-free (including rent-free in relatives/friends property, excluding squatting) | 7, Squatting",,,,,,,,,,,,
accommodation_satisfaction,socio_demographics,,radio,"How satisfied are you with this accommodation?","0,Very dissatisfied|1,Slightly dissatisfied|2,Neither satisfied nor dissatisfied|3,Fairly satisfied|4,Very satisfied",,,,,,,,,,,,
utilities,socio_demographics,,checkbox,"Have there been times during the past year when you were seriously behind in paying within the time allowed for any of these items","0, Rent | 1, Gas | 2, Electricity | 3, Water | 4, Goods on hire purchase | 5, Mortgage repayments | 6, Council Tax | 7, Credit card payments | 8, Telephone | 9, Other loans | 10, None of these",,,,,,,,,,,,
study,study,,radio,Study,"1,MDD|2,Epilepsy|3,MS(depression)|4,MS(Disability)",,,,,,,y,,,,,
enrolment_date,study,,text,"Enrolment Date",,"Date DD-MM-YY of enrolment into study (this field will be used to calculate survey schedules)",date_dmy,,,,,y,,,,,
enable_survey_invite,study,,yesno,"Send automatic survey invitation?",,"Set this ""no"" if the participant should not receive surveys",,,,,,y,,,,,
visit,study,,text,Visit,,,integer,,,,,,,,,,
month,study,,text,"Month in study",,,integer,,,,,,,,,,
contacts_weekly,social_environment,,checkbox,"In a typical week, how many of the following people do you come into contact with? By contact we mean talking either face-to-face or by phone","0,Brother/sister|1,In-laws|2,Other relatives|3,Close friends|4,Neighbours|5,Co-workers|6,Boss/supervisor|7,Other acquaintances|8,Helping professionals|9,Member of the same group or club",,,,,,,,,,,,
contacts_help,social_environment,,radio,"If you were in trouble or needed help, is there someone you could contact who would help you?","0,No|1,Yes",,,,,,,,,,,,
mh_psycond_clincond,medical_history,,radio,"1. Have you had any Psychiatric conditionever or Clinically significant condition in the two last years","0, No | 1, Yes",,,,,,,,,,,,
mh_diagnosis,medical_history,,text,Diagnosis:,,,,,,,"[mh_psycond_clincond] = '1'",,,,,,
mh_date_onset,medical_history,,text,"Date of onset:",,,date_dmy,,,,"[mh_psycond_clincond] = '1'",,,,,,
mh_end_date,medical_history,,text,"End date:",,,date_dmy,,,,"[mh_psycond_clincond] = '1'",,,,,,
ms_mh_first_sympt,ms_medical_history,,text,"1. Date first Ms Symptoms:",,,date_dmy,,,,,,,,,,
ms_mh_diagnos_date,ms_medical_history,,text,"2. Date of Ms diagnosis (if applicable)",,,date_dmy,,,,,,,,,,
ms_mh_phenotype,ms_medical_history,,radio,"3. Ms phenotype:","0, CIS | 1, RRMS",,,,,,,,,,,,
ms_mh_date_most_recent_ms_relapse,ms_medical_history,,text,"4. Date of most recent Ms relapse",,,date_dmy,,,,,,,,,,
own_smartphone,technology_usage,,radio,"1. Do you currently own a smartphone?","0,No|1,Yes",,,,,,,,,,,,
smartphone_type,technology_usage,,radio,"2. If yes, what kind of smartphone do you own?","0,Android|1,iPhone",,,,,,"[own_smartphone]=""1""",,,,,,
android_model,technology_usage,,text,"2a. If Android smartphone, please specify make/model",,,,,,,"[smartphone_type]=""0""",,,,,,
phone_contract,technology_usage,,text,"3. Who is your current contract mobile phone with?",,,,,,,,,,,,,
phone_call_allowance,technology_usage,,text,"4. What is your monthly call allowance?",,,,,,,,,,,,,
phone_text_allowance,technology_usage,,text,"5. What is your monthly text allowance?",,,,,,,,,,,,,
phone_data_allowance,technology_usage,,text,"6. What is your monthly data allowance?",,,,,,,,,,,,,
phone_contract_expiration,technology_usage,,text,"7. When is your mobile phone contract due to expire?",,,date_dmy,,,,,,,,,,
no_smartphone,technology_usage,,radio,"8. If you do not own a smartphone, would you be willing to use a smartphone for the purposes of this research study?","0, No | 1, Yes",,,,,,"[own_smartphone]=""0""",,,,,,
fitness_tracker_used,technology_usage,,radio,"9. Have you ever used a wearable fitness tracker before?","0, No | 1, Yes",,,,,,,,,,,,
fitness_tracker_time_used,technology_usage,,text,"10. How long did you use a wearable fitness tracker for?",,,,,,,"[fitness_tracker_used]=""1""",,,,,,
fitness_tracker_using,technology_usage,,radio,"11. Are you still using a wearable fitness tracker?","0, No | 1, Yes",,,,,,"[fitness_tracker_used]=""1""",,,,,,
fitness_tracker_stopped,technology_usage,,text,"12. If no, why did you stop using a wearable fitness tracker?",,,,,,,"[fitness_tracker_used]=""1"" and [fitness_tracker_using]=""0""",,,,,,
fitness_tracker_st_time,technology_usage,,text,"13. How long ago did you stop using your wearable fitness tracker?",,,,,,,"[fitness_tracker_used]=""1"" and [fitness_tracker_using]=""0""",,,,,,
wearable_at_job,technology_usage,,radio,"14. Do you have a job that would prevent you from using a wrist-worn wearble during working hours?","0, No | 1, Yes",,,,,,,,,,,,
mobile_phone_at_job,technology_usage,,radio,"15. Do you have a job that prevents you from using a mobile phone for long periods of time?","0, No | 1, Yes",,,,,,,,,,,,
pssuq_1,pssuq,,radio,"1. Overall, I am satisfied with how easy it is to use this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_1_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_2,pssuq,,radio,"2. It was simple to use this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_2_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_3,pssuq,,radio,"3. I could only effectively complete the tasks and scenarios using this system","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_3_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_4,pssuq,,radio,"4. I was able to complete the tasks quickly using this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_4_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_5,pssuq,,radio,"5. I was able to efficiently complete the tasks using this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_5_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_6,pssuq,,radio,"6. I felt comfortable using this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_6_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_7,pssuq,,radio,"7. It was easy to learn how to use this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_7_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_8,pssuq,,radio,"8. I believe I could become productive quickly using this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_8_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_9,pssuq,,radio,"9. The system gave error messages that clearly told me how to fix problems.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_9_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_10,pssuq,,radio,"10. Whenever I made a mistake using the system, I could recover easily and quickly.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_10_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_11,pssuq,,radio,"11. The information (such as on-screen messages and other documentation) provided with this system were clear.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_11_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_12,pssuq,,radio,"12. It was easy to find the information I needed.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_12_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_13,pssuq,,radio,"13. The information provided for the system was easy to understand.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_13_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_14,pssuq,,radio,"14. The information was effective in helping me to complete the tasks.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_14_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_15,pssuq,,radio,"15. The organisation of the information on the system screens was clear.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_15_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_16,pssuq,,radio,"16. The interface of this system was pleasant.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_16_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_17,pssuq,,radio,"17. I liked using the interface of this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_17_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_18,pssuq,,radio,"18. This system has all the functions and capabilities I expect it to have.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_18_c,pssuq,,text,Comments:,,,,,,,,,,,,,
pssuq_19,pssuq,,radio,"19. Overall, I am satisfied with this system.","1, 1 Strongly agree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Strongly disagree",,,,,,,,,,,,
pssuq_19_c,pssuq,,text,Comments:,,,,,,,,,,,,,
tam_usefulness_1,technology_assessment_measurement_fast_form,"Perceived Usefulness.",radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Efficient | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Inefficient",,,,,,,,RH,,,,
tam_usefulness_2,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Performance enhancing | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Performance degrading",,,,,,,,RH,,,,
tam_usefulness_3,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Productivity increasing | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Productivity decreasing",,,,,,,,RH,,,,
tam_usefulness_4,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Effective | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Ineffective",,,,,,,,RH,,,,
tam_usefulness_5,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Helpful | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Unhelpful",,,,,,,,RH,,,,
tam_usefulness_6,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Useful | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Useless",,,,,,,,RH,,,,
tam_ease_of_use_1,technology_assessment_measurement_fast_form,"Perceived Ease of Use.",radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Easy to learn | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Difficult to learn",,,,,,,,RH,,,,
tam_ease_of_use_2,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Easy to  manipulate | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Difficult to manipulate",,,,,,,,RH,,,,
tam_ease_of_use_3,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Clear to interact with | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Obscure to interact with",,,,,,,,RH,,,,
tam_ease_of_use_4,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Flexible to interact with | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Rigid to interact with",,,,,,,,RH,,,,
tam_ease_of_use_5,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Easy to master | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Difficult to master",,,,,,,,RH,,,,
tam_ease_of_use_6,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0, 0 Usable | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Cumbersome",,,,,,,,RH,,,,
tam_usage_1,technology_assessment_measurement_fast_form,"Predicted Usage. For the following questions, please indicate the extent to which you agree with the following statements:",radio,"1. If a choice of health monitoring platform was up to me, it would likely be RADAR-CNS.","0, 0 Agree | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Disagree",,,,,,,,RH,,,,
tam_usage_2,technology_assessment_measurement_fast_form,,radio,"2. If I need to monitor my health and the choice was up to me, I would expect to use RADAR-CNS.","0, 0 Agree | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Disagree",,,,,,,,RH,,,,
tam_usage_3,technology_assessment_measurement_fast_form,,radio,"3. If asked, I would likely recommend RADAR-CNS as a health monitoring platform.","0, 0 Agree | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Disagree",,,,,,,,RH,,,,
tam_usage_4,technology_assessment_measurement_fast_form,,radio,"4. For future health monitoring tasks that are totally within my control, I would probably use RADAR-CNS as a platform.","0, 0 Agree | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Disagree",,,,,,,,RH,,,,
ids_1,ids_sr,"Please indicate the one response to each item that best describes you for the past seven days. ",radio,"1. Falling asleep ","0, I never take longer than 30 minutes to fall asleep | 1, I take at least 30 minutes to fall asleep, less than half the time | 2, I take at least 30 minutes to fall asleep, more than half the time | 3, I take more than 60 minutes to fall asleep, more than half the time",,,,,,,,,,,,
ids_2,ids_sr,,radio,"2. Sleep during the night","0, I do not wake up at night | 1, I have a restless, light sleep with a few brief awakenings each night | 2, I wake up at least once a night, but I go back to sleep easily | 3, I awaken more than once a night and stay awake for 20 minutes or more, more than half the time",,,,,,,,,,,,
ids_3,ids_sr,,radio,"3. Waking up too early","0, Most of the time, I awaken no more than 30 minutes before I need to get up | 1, More than half the time, I awaken more than 30 minutes before I need to get up | 2, I almost always awaken at least one hour or so before I need to, but I go back to sleep eventually | 3, I awaken at least one hour before I need to, and can not go back to sleep",,,,,,,,,,,,
ids_4,ids_sr,,radio,"4. Sleeping too much","0, I sleep no longer than 7-8 hours per night without napping during the day | 1, I sleep no longer than 10 hours in a 24 hour period, including naps | 2, I sleep no longer than 12 hours in a 24-hour period, including naps | 3, I sleep longer than 12 hours in a 24-hour period, including naps",,,,,,,,,,,,
ids_5,ids_sr,,radio,"5. Feeling sad","0, I do not feel sad | 1, I feel sad less than half the time | 2, I feel sad more than half the time | 3, I feel sad nearly all of the time",,,,,,,,,,,,
ids_6,ids_sr,,radio,"6. Feeling irritable","0, I do not feel irritable | 1, I feel irritable less than half the time | 2, I feel irritable more than half the time | 3, I feel extremely irritable nearly all of the time",,,,,,,,,,,,
ids_7,ids_sr,,radio,"7. Feeling anxious or tense","0, I do not feel anxious or tense | 1, I feel anxious (tense) less than half the time | 2, I feel anxious (tense) more than half the time | 3, I feel extremely anxious (tense) nearly all of the time",,,,,,,,,,,,
ids_8,ids_sr,,radio,"8. Response of your mood to good or desired events","0, My mood brightens to a normal level which lasts for several hours when good events occur | 1, My mood brightens but I do not feel like my normal self when good events occur | 2, My mood brightens only somewhat to a rather limited range of desired events | 3, My mood does not brighten at all, even when very good or desired events occur in my life",,,,,,,,,,,,
ids_9,ids_sr,,radio,"9. Your mood in relation to time of day","0, There is no regular relationship between my mood and the time of day | 1, My mood often relates to the time of day because of environmental events (e.g., being alone, working) | 2, In general, my mood is more related to the time of day than to environmental events | 3, My mood is clearly and predictably better or worse at a particular time each day",,,,,,,,,,,,
ids_9a,ids_sr,,radio,"10. Is your mood typically worse in the morning, afternoon or night?","1, morning | 2, afternoon | 3, night",,,,,,,,,,,,
ids_9b,ids_sr,,radio,"11. Is your mood variation attributed to the environment?","0, No | 1, Yes",,,,,,,,,,,,
ids_10,ids_sr,,radio,"12. The quality of your mood","0, The mood (internal feelings) that I experience is very much a normal mood | 1, My mood is sad, but this sadness is pretty much like the sad mood I would feel if someone close to me died or left | 2, My mood is sad, but this sadness has a rather different quality to it than the sadness I would feel if someone close to me died or left | 3, My mood is sad, but this sadness is different from the type of sadness associated with grief or loss",,,,,,,,,,,,
ids_11,ids_sr,"Please indicate the one response to each item that best describes you for the past seven days. Please complete 13 or 14 (not both).",radio,"13. Decreased appetite","0, There is no change in my usual appetite | 1, I eat somewhat less often or lesser amounts of food than usual | 2, I eat much less than usual and only with personal effort | 3, I rarely eat within a 24-hour period, and only with extreme personal effort or when others persuade me to eat","Please fill out either question 13 or 14, not both.",,,,,,,,,,,
ids_12,ids_sr,,radio,"14. Increased appetite","0, There is no change in my usual appetite | 1, I feel a need to eat more frequently than usual | 2, I regularly eat more often and/or greater amounts of food than usual | 3, I feel driven to overeat both at mealtime and between meals","Please fill out either question 13 or 14, not both.",,,,,,,,,,,
ids_13,ids_sr,"Please indicate the one response to each item that best describes you for the past seven days. Please complete 15 or 16 (not both).",radio,"15. Within the last two weeks","0, I have not had a change in my weight | 1, I feel as if I've had a slight weight loss | 2, I have lost 2 pounds (1 kg) or more | 3, I have lost 5 pounds (2.5 kg) or more","Please fill out either question 15 or 16, not both.",,,,,,,,,,,
ids_14,ids_sr,,radio,"16. Within the last two weeks","0, I have not had a change in my weight | 1, I feel as if I've had a slight weight gain | 2, I have gained 2 pounds (1kg) or more | 3, I have gained 5 pounds (2.5 kg) or more","Please fill out either question 15 or 16, not both.",,,,,,,,,,,
ids_15,ids_sr,"Please indicate the one response to each item that best describes you for the past seven days. ",radio,"17. Concentration/decision making","0, There is no change in my usual capacity to concentrate or make decisions | 1, I occasionally feel indecisive or find that my attention wanders | 2, Most of the time, I struggle to focus my attention or to make decisions | 3, I cannot concentrate well enough to read or cannot make even minor decisions",,,,,,,,,,,,
ids_16,ids_sr,,radio,"18. View of myself","0, I see myself as equally worthwhile and deserving as other people | 1, I am more self-blaming than usual | 2, I largely believe that I cause problems for others | 3, I think almost constantly about major and minor defects in myself",,,,,,,,,,,,
ids_17,ids_sr,,radio,"19. View of my future","0, I have an optimistic view of my future | 1, I am occasionally pessimistic about my future, but for the most part I believe things will get better | 2, I am pretty certain that my immediate future (1-2 months) does not hold much promise of good things for me | 3, I see no hope of anything good happening to me anytime in the future",,,,,,,,,,,,
ids_18,ids_sr,,radio,"20. Thoughts of death or suicide","0, I do not think of suicide or death | 1, I feel that life is empty or wonder if it is worth living | 2, I think of suicide or death several times a week for several minutes | 3, I think of suicide or death several times a day in some detail, or I have made specific plans for suicide or have actually tried to take my life",,,,,,,,,,,,
ids_19,ids_sr,,radio,"21. General interest","0, There is no change from usual in how interested I am in other people or activities | 1, I notice that I am less interested in people or activities | 2, I find I have interest in only one or two of my formerly pursued activities | 3, I have virtually no interest in formerly pursued activities",,,,,,,,,,,,
ids_20,ids_sr,,radio,"22. Energy level","0, There is no change in my usual level of energy | 1, I get tired more easily than usual | 2, I have to make a big effort to start or finish my usual daily activities (e.g,shopping, homework, cooking or going to work) | 3, I really cannot carry our most of my usual daily activities because I just do not have the energy",,,,,,,,,,,,
ids_21,ids_sr,,radio,"23. Capacity for pleasure or enjoyment (excluding sex)","0, I enjoy pleasurable activities just as much as usual | 1, I do not feel my usual sense of enjoyment from pleasurable activities | 2, I rarely get a feeling of pleasure from any activity | 3, I am unable to get pleasure or enjoyment from anything",,,,,,,,,,,,
ids_22,ids_sr,,radio,"24. Interest in sex (please rate interest not activity)","0, I am just as interested in sex as usual | 1, My interest in sex is somewhat less than usual or I do not get the same pleasure from sex as I used to | 2, I have little desire for or rarely derive pleasure from sex | 3, I have absolutely no interest in or derive no pleasure from sex",,,,,,,,,,,,
ids_23,ids_sr,,radio,"25. Feeling slowed down","0, I think, speak, and move at my usual rate of speed | 1, I find that my thinking is slowed down or my voice sounds dull or flat | 2, It takes me several seconds to respond to most questions and I am sure my thinking is slowed | 3, I am often unable to respond to questions without extreme effort",,,,,,,,,,,,
